Heat,Lane,Car,Time,Position,HeatTimestamp
1,1,1,2.615,1,2023-01-28 14:13:23
1,2, ,9.999,None,2023-01-28 14:13:23
1,3, ,9.999,None,2023-01-28 14:13:23
2,1,2,2.748,2,2023-01-28 14:14:16
2,2,1,2.629,1,2023-01-28 14:14:16
2,3, ,9.999,None,2023-01-28 14:14:16
3,1,3,2.635,2,2023-01-28 14:14:45
3,2,2,2.762,3,2023-01-28 14:14:45
3,3,1,2.614,1,2023-01-28 14:14:45
4,1,4,2.652,2,2023-01-28 14:15:31
4,2,3,2.604,1,2023-01-28 14:15:31
4,3,2,2.767,3,2023-01-28 14:15:31
5,1,5,2.630,1,2023-01-28 14:16:12
5,2,4,2.659,3,2023-01-28 14:16:12
5,3,3,2.635,2,2023-01-28 14:16:12
6,1,6,2.653,2,2023-01-28 14:16:47
6,2,5,2.642,1,2023-01-28 14:16:47
6,3,4,2.676,3,2023-01-28 14:16:47
7,1,7,2.657,3,2023-01-28 14:17:45
7,2,6,2.652,2,2023-01-28 14:17:45
7,3,5,2.648,1,2023-01-28 14:17:45
8,1,8,2.681,3,2023-01-28 14:23:33
8,2,7,2.673,2,2023-01-28 14:23:33
8,3,6,2.669,1,2023-01-28 14:23:33
9,1,9,2.623,1,2023-01-28 14:24:18
9,2,8,2.660,2,2023-01-28 14:24:18
9,3,7,2.682,3,2023-01-28 14:24:18
10,1,10,2.649,2,2023-01-28 14:24:57
10,2,9,2.621,1,2023-01-28 14:24:57
10,3,8,2.650,3,2023-01-28 14:24:57
11,1,11,2.647,1,2023-01-28 14:25:37
11,2,10,2.666,2,2023-01-28 14:25:37
11,3,9,2.667,3,2023-01-28 14:25:37
12,1,12,2.768,3,2023-01-28 14:26:15
12,2,11,2.670,2,2023-01-28 14:26:15
12,3,10,2.646,1,2023-01-28 14:26:15
13,1,13,2.616,1,2023-01-28 14:27:07
13,2,12,2.769,3,2023-01-28 14:27:07
13,3,11,2.680,2,2023-01-28 14:27:07
14,1,14,3.137,3,2023-01-28 14:27:51
14,2,13,2.609,1,2023-01-28 14:27:51
14,3,12,2.803,2,2023-01-28 14:27:51
15,1,15,2.634,2,2023-01-28 14:28:36
15,2,14,3.155,3,2023-01-28 14:28:36
15,3,13,2.615,1,2023-01-28 14:28:36
16,1,16,2.728,2,2023-01-28 14:29:11
16,2,15,2.627,1,2023-01-28 14:29:11
16,3,14,3.141,3,2023-01-28 14:29:11
17,1,17,2.659,1,2023-01-28 14:29:43
17,2,16,2.706,3,2023-01-28 14:29:43
17,3,15,2.670,2,2023-01-28 14:29:43
18,1,18,9.999,None,2023-01-28 14:30:41
18,2,17,2.698,2,2023-01-28 14:30:41
18,3,16,2.696,1,2023-01-28 14:30:41
19,1, ,9.999,None,2023-01-28 14:31:30
19,2, ,9.999,None,2023-01-28 14:31:30
19,3,17,2.704,1,2023-01-28 14:31:30

91,1,1,2.618,1,2023-01-28 14:51:54
91,2, ,9.999,None,2023-01-28 14:51:54

92,1,1,2.614,None,2023-01-28 14:51:54
92,2,3,2.617,,
93,1,5,2.641,,
93,2,3,2.617,,
93,3,1,2.603,,
94,1,9,2.626,2,2023-01-28 14:59:40
94,2,5,2.636,3,2023-01-28 14:59:40
94,3,3,2.610,1,2023-01-28 14:59:40
95,1,13,2.614,1,2023-01-28 15:00:36
95,2,9,2.651,3,2023-01-28 15:00:36
95,3,5,2.641,2,2023-01-28 15:00:36
96,1,15,2.651,3,2023-01-28 15:01:19
96,2,13,2.625,1,2023-01-28 15:01:19
96,3,9,2.635,2,2023-01-28 15:01:19
97,1,99,9.999,None,2023-01-28 15:01:59
97,2,15,2.656,2,2023-01-28 15:01:59
97,3,13,2.614,1,2023-01-28 15:01:59
